COUNT	LENGTH	DATA
1970	3	src
1595	7	flutter
1043	1	C
1014	3	lib
1013	4	dart
936	3	pub
573	8	packages
470	5	cache
468	8	dartlang
468	6	hosted
468	3	org
168	8	material
128	7	widgets
70	8	uesbvent
53	8	test_api
51	34	cloud_firestore_platform_interface
48	5	async
46	7	LICENSE
44	9	rendering
42	8	painting
40	9	cupertino
39	32	firebase_auth_platform_interface
37	8	services
35	1	D
35	10	Documentos
35	6	Pastas
35	4	UESB
35	3	dev
30	12	flutter_test
28	7	backend
28	10	foundation
27	18	platform_interface
26	10	collection
26	8	gestures
26	14	method_channel
26	11	vector_math
25	14	vector_math_64
21	24	material_color_utilities
20	15	cloud_firestore
20	7	matcher
20	5	utils
18	14	animated_icons
18	1	g
18	6	models
17	31	image_picker_platform_interface
16	5	types
15	16	boolean_selector
15	4	path
14	3	app
14	4	data
14	6	expect
14	32	firebase_core_platform_interface
14	11	source_span
12	11	stack_trace
12	14	stream_channel
12	14	string_scanner
11	5	build
11	10	characters
11	14	flutter_assets
11	13	intermediates
11	9	providers
10	13	firebase_auth
9	9	animation
9	7	binding
9	6	result
8	5	clock
8	7	physics
7	9	constants
7	8	quantize
7	9	semantics
7	10	term_glyph
6	6	assets
6	13	configuration
6	10	cross_file
6	6	pigeon
5	22	_flutterfire_internals
5	6	colors
5	13	firebase_core
5	3	hct
5	11	picked_file
5	9	scheduler
5	23	stream_sink_transformer
5	4	util
4	3	bin
4	17	combined_wrappers
4	9	exception
4	9	generated
4	20	image_picker_android
4	16	image_picker_ios
4	8	messages
4	4	meta
4	3	png
4	11	scaffolding
4	5	style
3	15	cupertino_icons
3	10	fake_async
3	17	grapheme_clusters
3	5	image
3	12	image_picker
3	11	ink_sparkle
3	8	internal
3	25	mask_text_input_formatter
3	25	plugin_platform_interface
3	12	pretty_print
3	11	restoration
3	9	scrollbar
3	5	table
3	14	text_selection
2	14	CupertinoIcons
2	13	MaterialIcons
2	7	Regular
2	13	animated_size
2	12	autocomplete
2	8	autofill
2	6	banner
2	4	base
2	11	basic_types
2	5	blend
2	12	build_system
2	6	button
2	8	charcode
2	6	curves
2	11	date_picker
2	22	desktop_text_selection
2	6	dialog
2	5	error
2	4	fake
2	12	flutter_logo
2	13	flutter_tools
2	4	frag
2	6	future
2	15	icon_theme_data
2	5	icons
2	2	io
2	4	json
2	22	load_bundle_task_state
2	13	localizations
2	9	logo_uesb
2	17	logo_universidade
2	6	object
2	3	otf
2	8	palettes
2	19	performance_overlay
2	11	placeholder
2	8	platform
2	13	platform_view
2	16	reorderable_list
2	6	scheme
2	5	score
2	7	shaders
2	6	slider
2	6	sliver
2	11	sliver_fill
2	24	sliver_persistent_header
2	17	snapshot_metadata
2	6	source
2	19	stream_subscription
2	7	targets
2	10	text_field
2	22	text_selection_toolbar
2	10	text_theme
2	7	texture
2	5	theme
2	3	ttf
2	5	typed
2	8	viewport
1	13	AssetManifest
1	42	DOES_NOT_EXIST_RERUN_FOR_WILDCARD537223308
1	12	FontManifest
1	7	NOTICES
1	17	OLDcriaeventopage
1	1	Z
1	11	_binding_io
1	12	_bitfield_io
1	11	_goldens_io
1	12	_isolates_io
1	12	_matchers_io
1	17	_network_image_io
1	12	_platform_io
1	5	aabb2
1	5	aabb3
1	5	about
1	13	accessibility
1	16	action_code_info
1	20	action_code_settings
1	7	actions
1	18	activity_indicator
1	9	add_event
1	20	additional_user_info
1	15	aggregate_query
1	24	aggregate_query_snapshot
1	16	aggregate_source
1	10	algorithms
