COUNT	LENGTH	DATA
7	11	application
7	4	self
7	6	window
6	10	GTK_WIDGET
6	13	MyApplication
5	10	header_bar
5	4	view
4	14	MY_APPLICATION
4	25	dart_entrypoint_arguments
4	5	klass
3	5	error
3	11	exit_status
3	15	gtk_widget_show
3	6	object
3	7	project
3	6	screen
3	14	use_header_bar
2	12	GApplication
2	19	G_APPLICATION_CLASS
2	14	G_OBJECT_CLASS
2	9	arguments
2	7	dispose
2	9	g_autoptr
2	8	gboolean
2	5	gchar
2	23	my_application_activate
2	22	my_application_dispose
2	33	my_application_local_command_line
2	7	wm_name
1	14	APPLICATION_ID
1	18	FL_PLUGIN_REGISTRY
1	13	FlDartProject
1	6	FlView
1	17	GDK_IS_X11_SCREEN
1	6	GError
1	7	GObject
1	15	GTK_APPLICATION
1	13	GTK_CONTAINER
1	14	GTK_HEADER_BAR
1	20	GTK_TYPE_APPLICATION
1	10	GTK_WINDOW
1	24	G_APPLICATION_NON_UNIQUE
1	13	G_DEFINE_TYPE
1	9	GdkScreen
1	14	GtkApplication
1	12	GtkHeaderBar
1	9	GtkWindow
1	18	MyApplicationClass
1	14	_MyApplication
1	8	activate
1	4	char
1	19	fl_dart_project_new
1	45	fl_dart_project_set_dart_entrypoint_arguments
1	19	fl_register_plugins
1	11	fl_view_new
1	22	g_application_activate
1	22	g_application_register
1	15	g_clear_pointer
1	12	g_object_new
1	9	g_strcmp0
1	9	g_strdupv
1	10	g_strfreev
1	9	g_warning
1	38	gdk_x11_screen_get_window_manager_name
1	26	gtk_application_window_new
1	17	gtk_container_add
1	18	gtk_header_bar_new
1	36	gtk_header_bar_set_show_close_button
1	24	gtk_header_bar_set_title
1	21	gtk_widget_grab_focus
1	21	gtk_window_get_screen
1	27	gtk_window_set_default_size
1	20	gtk_window_set_title
1	23	gtk_window_set_titlebar
1	3	int
1	18	local_command_line
1	7	message
1	14	my_application
1	25	my_application_class_init
1	23	my_application_get_type
1	19	my_application_init
1	18	my_application_new
1	27	my_application_parent_class
1	15	parent_instance
