COUNT	LENGTH	DATA
4	3	msg
3	4	_In_
3	7	project
3	6	window
2	9	HINSTANCE
2	11	Win32Window
2	22	command_line_arguments
2	3	int
2	6	origin
2	4	size
1	8	APIENTRY
1	21	ATTACH_PARENT_PROCESS
1	13	AttachConsole
1	24	COINIT_APARTMENTTHREADED
1	14	CoInitializeEx
1	14	CoUninitialize
1	22	CreateAndAttachConsole
1	13	CreateAndShow
1	11	DartProject
1	15	DispatchMessage
1	12	EXIT_FAILURE
1	12	EXIT_SUCCESS
1	13	FlutterWindow
1	23	GetCommandLineArguments
1	10	GetMessage
1	17	IsDebuggerPresent
1	3	MSG
1	5	Point
1	14	SetQuitOnClose
1	4	Size
1	16	TranslateMessage
1	8	_In_opt_
1	12	command_line
1	7	flutter
1	8	instance
1	4	move
1	4	prev
1	29	set_dart_entrypoint_arguments
1	12	show_command
1	6	string
1	6	vector
1	8	wWinMain
1	7	wchar_t
