COUNT	LENGTH	DATA
7	6	string
6	11	utf8_string
5	13	target_length
4	4	argv
4	1	i
4	3	int
4	12	utf16_string
3	4	argc
3	22	command_line_arguments
3	6	stdout
3	6	unused
3	6	vector
2	7	CP_UTF8
2	13	Utf8FromUtf16
2	20	WC_ERR_INVALID_CHARS
2	19	WideCharToMultiByte
2	5	_dup2
2	7	_fileno
2	16	converted_length
2	9	freopen_s
2	7	wchar_t
1	12	AllocConsole
1	18	CommandLineToArgvW
1	22	CreateAndAttachConsole
1	4	FILE
1	33	FlutterDesktopResyncOutputStreams
1	23	GetCommandLineArguments
1	15	GetCommandLineW
1	9	LocalFree
1	4	data
1	3	ios
1	8	max_size
1	9	push_back
1	6	resize
1	6	stderr
1	15	sync_with_stdio
