COUNT	LENGTH	DATA
20	11	Win32Window
15	12	window_class
12	20	WindowClassRegistrar
11	6	window
10	5	frame
9	14	window_handle_
8	4	HWND
7	6	lparam
7	7	message
7	11	newRectSize
7	4	rect
7	12	scale_factor
6	14	child_content_
6	4	left
6	3	top
5	4	RECT
5	5	Scale
5	4	hwnd
5	9	instance_
5	6	origin
5	6	wparam
4	7	Destroy
4	4	LONG
4	4	bool
4	17	class_registered_
4	7	content
4	21	g_active_window_count
4	3	int
4	16	kWindowClassName
4	4	that
4	13	user32_module
4	7	wchar_t
3	13	GetClientArea
3	11	GetInstance
3	14	GetWindowClass
3	4	UINT
3	21	UnregisterWindowClass
3	6	bottom
3	29	enable_non_client_dpi_scaling
3	5	right
3	4	size
3	13	window_struct
2	13	DefWindowProc
2	31	EnableFullDpiSupportIfAvailable
2	25	EnableNonClientDpiScaling
2	13	GWLP_USERDATA
2	15	GetModuleHandle
2	17	GetThisFromHandle
2	6	LPARAM
2	7	LRESULT
2	14	MessageHandler
2	10	MoveWindow
2	8	OnCreate
2	9	OnDestroy
2	8	SetFocus
2	6	WPARAM
2	7	WndProc
2	6	double
2	3	dpi
2	9	hInstance
2	14	lpCreateParams
2	7	monitor
2	9	newHeight
2	8	newWidth
2	13	quit_on_close
2	14	quit_on_close_
2	6	source
2	12	target_point
2	5	title
2	1	x
2	1	y
1	4	BOOL
1	8	CALLBACK
1	12	CREATESTRUCT
1	10	CS_HREDRAW
1	10	CS_VREDRAW
1	13	CreateAndShow
1	12	CreateWindow
1	13	DestroyWindow
1	30	FlutterDesktopGetDpiForMonitor
1	11	FreeLibrary
1	13	GetClientRect
1	9	GetHandle
1	14	GetProcAddress
1	16	GetWindowLongPtr
1	7	HMODULE
1	8	HMONITOR
1	9	IDC_ARROW
1	12	IDI_APP_ICON
1	8	LONG_PTR
1	10	LoadCursor
1	8	LoadIcon
1	12	LoadLibraryA
1	15	MAKEINTRESOURCE
1	24	MONITOR_DEFAULTTONEAREST
1	16	MonitorFromPoint
1	5	POINT
1	5	Point
1	15	PostQuitMessage
1	13	RegisterClass
1	14	SWP_NOACTIVATE
1	12	SWP_NOZORDER
1	15	SetChildContent
1	9	SetParent
1	14	SetQuitOnClose
1	16	SetWindowLongPtr
1	12	SetWindowPos
1	4	Size
1	15	UnregisterClass
1	11	WM_ACTIVATE
1	10	WM_DESTROY
1	13	WM_DPICHANGED
1	11	WM_NCCREATE
1	7	WM_SIZE
1	8	WNDCLASS
1	19	WS_OVERLAPPEDWINDOW
1	10	WS_VISIBLE
1	9	__stdcall
1	5	c_str
1	10	cbClsExtra
1	10	cbWndExtra
1	7	hCursor
1	5	hIcon
1	13	hbrBackground
1	6	height
1	11	lpfnWndProc
1	13	lpszClassName
1	12	lpszMenuName
1	5	style
1	5	width
1	7	wstring
